"Four-Year Graduation Rates, 2012-13"
"All Districts, Gender"

"",,,"Graduates",,"Non-Graduates",,,
"Ridgefield School District","Female",202,192,95.0,7,3.5,"*","*"
"Ridgefield School District","Male",212,206,97.2,6,2.8,"*","*"
"Rocky Hill School District","Female",82,79,96.3,"*","*","*","*"
"Rocky Hill School District","Male",95,80,84.2,"*","*","*","*"
"Seymour School District","Female",88,77,87.5,6,6.8,"*","*"
"Seymour School District","Male",93,78,83.9,7,7.5,"*","*"
"Shelton School District","Female",189,170,89.9,9,4.8,10,5.3
"Shelton School District","Male",205,185,90.2,13,6.3,7,3.4
"Simsbury School District","Female",190,187,98.4,"*","*","*","*"
"Simsbury School District","Male",210,202,96.2,"*","*","*","*"
"Somers School District","Female",68,67,98.5,"*","*","*","*"
"Somers School District","Male",78,74,94.9,"*","*","*","*"
"South Windsor School District","Female",182,172,94.5,"*","*","*","*"
"South Windsor School District","Male",204,192,94.1,"*","*","*","*"
"Southington School District","Female",250,232,92.8,10,4.0,8,3.2
"Southington School District","Male",240,214,89.2,13,5.4,13,5.4
"Stafford School District","Female",69,64,92.8,"*","*","*","*"
"Stafford School District","Male",60,48,80.0,"*","*","*","*"
"Stamford Academy District","Female",13,"*","*",6,46.2,"*","*"
"Stamford Academy District","Male",24,"*","*",15,62.5,"*","*"
"Stamford School District","Female",584,524,89.7,20,3.4,40,6.8
"Stamford School District","Male",634,559,88.2,35,5.5,40,6.3
"Stonington School District","Female",88,83,94.3,"*","*","*","*"
"Stonington School District","Male",114,109,95.6,"*","*","*","*"
"Stratford School District","Female",272,255,93.8,6,2.2,11,4.0
"Stratford School District","Male",297,249,83.8,25,8.4,23,7.7
"Suffield School District","Female",125,119,95.2,"*","*","*","*"
"Suffield School District","Male",95,85,89.5,"*","*","*","*"
"The Bridge Academy District","Female",17,17,100.0,"*","*","*","*"
"The Bridge Academy District","Male",19,15,78.9,"*","*","*","*"
"The Gilbert School District","Female",45,37,82.2,"*","*",7,15.6
"The Gilbert School District","Male",49,34,69.4,"*","*",7,14.3
"Thomaston School District","Female",41,39,95.1,"*","*","*","*"
"Thomaston School District","Male",39,34,87.2,"*","*","*","*"
"Thompson School District","Female",42,39,92.9,"*","*","*","*"
"Thompson School District","Male",45,39,86.7,"*","*","*","*"
"Tolland School District","Female",116,111,95.7,"*","*","*","*"
"Tolland School District","Male",128,118,92.2,"*","*","*","*"
"Torrington School District","Female",134,123,91.8,6,4.5,"*","*"
"Torrington School District","Male",144,112,77.8,19,13.2,"*","*"
"Trumbull School District","Female",279,273,97.8,"*","*","*","*"
"Trumbull School District","Male",271,265,97.8,"*","*","*","*"
"Unified School District #1","Female",14,"*","*","*","*",9,64.3
"Unified School District #1","Male",358,"*","*","*","*",229,64.0
"Unified School District #2","Female",10,"*","*","*","*",7,70.0
"Unified School District #2","Male",53,"*","*","*","*",29,54.7
"Vernon School District","Female",127,110,86.6,"*","*",13,10.2
"Vernon School District","Male",115,87,75.7,"*","*",18,15.7
"Wallingford School District","Female",302,281,93.0,7,2.3,14,4.6
"Wallingford School District","Male",233,205,88.0,15,6.4,13,5.6
"Waterbury School District","Female",631,452,71.6,20,3.2,159,25.2
"Waterbury School District","Male",669,412,61.6,44,6.6,213,31.8
"Waterford School District","Female",111,101,91.0,"*","*","*","*"
"Waterford School District","Male",132,121,91.7,"*","*","*","*"
"Watertown School District","Female",139,127,91.4,"*","*",8,5.8
"Watertown School District","Male",133,109,82.0,"*","*",12,9.0
"West Hartford School District","Female",423,398,94.1,12,2.8,13,3.1
"West Hartford School District","Male",412,380,92.2,12,2.9,20,4.9
"West Haven School District","Female",203,160,78.8,11,5.4,32,15.8
"West Haven School District","Male",236,146,61.9,23,9.7,67,28.4
"Westbrook School District","Female",37,36,97.3,"*","*","*","*"
"Westbrook School District","Male",41,39,95.1,"*","*","*","*"
"Weston School District","Female",103,103,100.0,"*","*","*","*"
"Weston School District","Male",105,103,98.1,"*","*","*","*"
"Westport School District","Female",221,218,98.6,"*","*","*","*"
"Westport School District","Male",245,242,98.8,"*","*","*","*"
"Wethersfield School District","Female",128,119,93.0,"*","*","*","*"
"Wethersfield School District","Male",142,125,88.0,"*","*","*","*"
"Wilton School District","Female",163,156,95.7,"*","*","*","*"
"Wilton School District","Male",163,157,96.3,"*","*","*","*"
"Windham School District","Female",91,70,76.9,8,8.8,13,14.3
"Windham School District","Male",107,79,73.8,12,11.2,16,15.0
"Windsor Locks School District","Female",78,73,93.6,"*","*","*","*"
"Windsor Locks School District","Male",62,54,87.1,"*","*","*","*"
"Windsor School District","Female",174,146,83.9,14,8.0,14,8.0
"Windsor School District","Male",181,143,79.0,21,11.6,17,9.4
"Wolcott School District","Female",111,104,93.7,"*","*","*","*"
"Wolcott School District","Male",110,104,94.5,"*","*","*","*"
"Woodstock Academy District","Female",157,152,96.8,"*","*","*","*"
"Woodstock Academy District","Male",127,118,92.9,"*","*","*","*"

